Lesson,CardNum,Maranao,WordNote,Cebuano Word,WordNote,English,EnglishNote,Grammar,Category,SubCategory1,SubCategory2,ACTFLEst,Type
1,1,Anda,,Asa,,Where,,Interrogative,Function Word,Question Word,Question Word,Novice-Mid,N
1,2,Antonaa,,Unsa,,What,,Interrogative,Function Word,Question Word,Question Word,Novice-Mid,N
1,3,Oway,,Oo,,Yes,,Particle,Function Word,Response,Response,Novice-Low,N
1,4,Di,,Dili,,No,,Adverb / Negator,Function Word,Negation,Negation,Novice-Low,N
1,5,Tiro,,Istorya,,Tell,,Verb,You,Personal Action,Communication,Novice-High,N
1,6,Ilay,,Tan-aw,,Look,,Verb,You,Personal Action,Vision,Novice-High,N
1,7,Pamakineg,,Paminaw,,Listen,,Verb,You,Personal Action,Hearing,Novice-High,N
1,8,Itoro,,I-tudlo,,Point,,Verb,You,Personal Action,Gesture,Novice-High,N
1,9,Batiya,,Basa,,Read,,Verb,You,Personal Action,Literacy,Novice-High,N
1,10,Sorat,,Sulat,,Write,,Verb,You,Personal Action,Literacy,Novice-High,N
1,11,Pengandao,,Nag-tudlo,,Teach,,Verb,World,Occupation Action,Teaching,Intermediate-Low,N
1,12,Saken,,Ako/ko,,I/me,,Pronoun,Function Word,Pronoun,Pronoun,Novice-Low,N
1,13,Seka,,Ikaw/ka,,You,,Pronoun,Function Word,Pronoun,Pronoun,Novice-Low,N
1,14,Giyai,,Kini / ni,,This,,Demonstrative pronoun,Function Word,Demonstrative,Demonstrative,Novice-Mid,N
1,15,Giyanan,,Kana / na,,That,,Demonstrative pronoun,Function Word,Demonstrative,Demonstrative,Novice-Mid,N
1,16,Bolpin,,Bolpen,,Pen,,Noun,World,School Supply,Writing Tool,Novice-Mid,N
1,17,Pansom,,Lapis,,Pencil,,Noun,World,School Supply,Writing Tool,Novice-Mid,N
1,18,Ribro,,Libro,,Book,,Noun,World,School Supply,Reading Material,Novice-Mid,N
1,19,Karatas,,Papel,,Paper,,Noun,World,School Supply,Writing Material,Novice-Mid,N
1,20,Ngaran,,Ngalan,,Name,,Noun,You,Personal Identity,Personal Identity,Novice-Mid,S
1,21,Goro,,Mestro/a,,Teacher,,Noun,World,Occupation,Teaching,Novice-High,S
1,22,Morit,,Estudyante,,Student,,Noun,World,Occupation,Learning,Novice-High,S
1,23,Assalam Alaikom,,Maayong Adlaw,,Good Day,,Ftabanf,Function Word,Greeting,Greeting,Novice-Low,S
2,24,Agop,,Tabang,,Help,,Noun / Verb,You,Personal Action,Assistance,Novice-High,S
2,25,A,,Nga,,Linker,,Ligature / Linker,Function Word,Linker,Linker,Novice-High,N
2,26,Ka,,Ka,,Counter marker,,Particle,Function Word,Marker,Marker,Novice-Low,N
2,27,Mga,,Mga,,Plural marker,,Particle,Function Word,Plural,Plural,Novice-Mid,N
2,28,So,,Ang,,The,,Case marker,Function Word,Case Marker,Case Marker,Novice-Mid,N
2,29,Ago,,Og,,And/a,,Conjunction / Case marker,Function Word,Case Marker,Case Marker,Novice-High,N
2,30,Sa,,Sa,,In/at/of,,Preposition / Case marker,Function Word,Preposition,Preposition,Novice-Mid,N
2,31,Si,,Si,,Name marker,,Case marker,Function Word,Case Marker,Case Marker,Novice-Mid,N
2,32,Ontod,,Lingkod,,Sit,,Verb,You,Personal Action,Posture,Novice-High,N
2,33,Tindeg,,Tindog,,Stand,,Verb,You,Personal Action,Posture,Novice-High,N
2,34,Imbotad,,I-butang,,Put,,Verb,You,Personal Action,Manipulation,Novice-High,N
2,35,Kowa,,Kuha,,Get,,Verb,You,Personal Action,Manipulation,Novice-High,N
2,36,Lamisaan,,Lamesa,,Table,,Noun,Home,Furniture,Furniture,Novice-Mid,N
2,37,Ontoda,,Lingkuranan,,Chair,,Noun,Home,Furniture,Furniture,Novice-High,N
2,38,Pagigimo,,Mga butang,,Things,,Noun phrase,Function Word,Generic Noun,Generic Noun,Novice-Mid,N
2,39,Maitom,,Itom,,Black,,Adjective,Function Word,Color,Color,Novice-Mid,N
2,40,Mapoti,,Puti,,White,,Adjective,Function Word,Color,Color,Novice-Mid,N
2,41,Mariga,,Pula,,Red,,Adjective,Function Word,Color,Color,Novice-Mid,N
2,42,Gadong,,Green,,Green,,Adjective,Function Word,Color,Color,Novice-Mid,N
2,43,Isa,,Isa,,One,,Numeral,Function Word,Number,Number,Novice-Mid,N
2,44,Dowa,,Duha,,Two,,Numeral,Function Word,Number,Number,Novice-Mid,N
2,45,Telo,,Tulo,,Three,,Numeral,Function Word,Number,Number,Novice-Mid,N
2,46,Pat,,Upat,,Four,,Numeral,Function Word,Number,Number,Novice-Mid,N
2,47,Lima,,Lima,,Five,,Numeral,Function Word,Number,Number,Novice-Mid,N
3,48,Sekanyan,,Siya,,Him/her,,Pronoun,Function Word,Pronoun,Pronoun,Novice-Low,N
3,49,Siran,,Sila,,They/them,,Pronoun,Function Word,Pronoun,Pronoun,Novice-Mid,N
3,50,Baag,,Bag,,Bag,,Noun,You,Personal Belonging,Personal Belonging,Novice-Mid,N
