Lesson #,Card #,Cebuano,English,Cebuano Note,English Note,Maranao,Maranao Note,Sinama,Sinama Note,Grammar,Category,Sub-Category 1,Sub-Category 2,ACTFL Est.,Type (Review/New/Special 
1,1,Asa,Where,,,,,,,Interrogative,,,,Novice-Mid,N
1,2,Unsa,What,,,,,,,Interrogative,,,,Novice-Mid,N
1,3,Oo,Yes,,,,,,,Particle,,,,Novice-Low,N
1,4,Dili,No,,,,,,,Adverb / Negator,,,,Novice-Low,N
1,5,Istorya,Tell,,,,,,,Verb,,,,Novice-High,N
1,6,Tan-aw,Look,,,,,,,Verb,,,,Novice-High,N
1,7,Paminaw,Listen,,,,,,,Verb,,,,Novice-High,N
1,8,I-tudlo,Point,,,,,,,Verb,,,,Novice-High,N
1,9,Basa,Read,,,,,,,Verb,,,,Novice-High,N
1,10,Sulat,Write,,,,,,,Verb,,,,Novice-High,N
1,11,Nag-tudlo,Teach,,,,,,,Verb,,,,Intermediate-Low,N
1,12,Ako/ko,I/me,,,,,,,Pronoun,,,,Novice-Low,N
1,13,Ikaw/ka,You,,,,,,,Pronoun,,,,Novice-Low,N
1,14,Kini / ni,This,,,,,,,Demonstrative pronoun,,,,Novice-Mid,N
1,15,Kana / na,That,,,,,,,Demonstrative pronoun,,,,Novice-Mid,N
1,16,Bolpen,Pen,,,,,,,Noun,,,,Novice-Mid,N
1,17,Lapis,Pencil,,,,,,,Noun,,,,Novice-Mid,N
1,18,Libro,Book,,,,,,,Noun,,,,Novice-Mid,N
1,19,Papel,Paper,,,,,,,Noun,,,,Novice-Mid,N
1,20,Ngalan,Name,,,,,,,Noun,,,,Novice-Mid,S
1,21,Mestro/a,Teacher,,,,,,,Noun,,,,Novice-High,S
1,22,Estudyante,Student,,,,,,,Noun,,,,Novice-High,S
1,23,Maayong Adlaw,Good Day,,,,,,,Expression / Greeting,,,,Novice-Low,S
2,24,Tabang,Help,,,,,,,Noun / Verb,,,,Novice-High,S
2,25,Nga,Linker,,,,,,,Ligature / Linker,Function Word,,,Novice-High,N
2,26,Ka,Counter marker,,,,,,,Particle,Function Word,,,Novice-Low,N
2,27,Mga,Plural marker,,,,,,,Particle,Function Word,,,Novice-Mid,N
2,28,Ang,The,,,,,,,Case marker,Function Word,,,Novice-Mid,N
2,29,Og,And/a,,,,,,,Conjunction / Case marker,Function Word,,,Novice-High,N
2,30,Sa,In/at/of,,,,,,,Preposition / Case marker,Function Word,,,Novice-Mid,N
2,31,Si,Name marker,,,,,,,Case marker,Function Word,,,Novice-Mid,N
